Tick: 0, energy: 7055.12, penergy: -397.711, kenergy: 7452.83
Tick: 1, energy: 7056.57, penergy: -397.732, kenergy: 7454.3
Tick: 2, energy: 7056.56, penergy: -397.764, kenergy: 7454.33
Tick: 3, energy: 7056.56, penergy: -397.807, kenergy: 7454.36
Tick: 4, energy: 7056.55, penergy: -397.86, kenergy: 7454.41
Tick: 5, energy: 7056.55, penergy: -397.925, kenergy: 7454.47
Tick: 6, energy: 7056.54, penergy: -398, kenergy: 7454.54
Tick: 7, energy: 7056.53, penergy: -398.087, kenergy: 7454.62
Tick: 8, energy: 7056.53, penergy: -398.184, kenergy: 7454.71
Tick: 9, energy: 7056.52, penergy: -398.292, kenergy: 7454.82
Tick: 10, energy: 7056.52, penergy: -398.411, kenergy: 7454.93
Tick: 11, energy: 7056.51, penergy: -398.541, kenergy: 7455.05
Tick: 12, energy: 7056.51, penergy: -398.682, kenergy: 7455.19
Tick: 13, energy: 7056.5, penergy: -398.835, kenergy: 7455.34
Tick: 14, energy: 7056.5, penergy: -398.998, kenergy: 7455.49
Tick: 15, energy: 7056.49, penergy: -399.172, kenergy: 7455.66
Tick: 16, energy: 7056.48, penergy: -399.357, kenergy: 7455.84
Tick: 17, energy: 7056.48, penergy: -399.553, kenergy: 7456.03
Tick: 18, energy: 7056.47, penergy: -399.761, kenergy: 7456.23
Tick: 19, energy: 7056.47, penergy: -399.979, kenergy: 7456.45
Tick: 20, energy: 7056.46, penergy: -400.209, kenergy: 7456.67
Tick: 21, energy: 7056.46, penergy: -400.45, kenergy: 7456.91
Tick: 22, energy: 7056.45, penergy: -400.702, kenergy: 7457.15
Tick: 23, energy: 7056.45, penergy: -400.965, kenergy: 7457.41
Tick: 24, energy: 7056.44, penergy: -401.24, kenergy: 7457.68
Tick: 25, energy: 7056.43, penergy: -401.525, kenergy: 7457.96
Tick: 26, energy: 7056.43, penergy: -401.822, kenergy: 7458.25
Tick: 27, energy: 7056.42, penergy: -402.131, kenergy: 7458.55
Tick: 28, energy: 7056.42, penergy: -402.45, kenergy: 7458.87
Tick: 29, energy: 7056.41, penergy: -402.782, kenergy: 7459.19
Tick: 30, energy: 7056.41, penergy: -403.124, kenergy: 7459.53
Tick: 31, energy: 7056.4, penergy: -403.478, kenergy: 7459.88
Tick: 32, energy: 7056.39, penergy: -403.844, kenergy: 7460.24
Tick: 33, energy: 7056.39, penergy: -404.221, kenergy: 7460.61
Tick: 34, energy: 7056.38, penergy: -404.61, kenergy: 7460.99
Tick: 35, energy: 7056.38, penergy: -405.01, kenergy: 7461.39
Tick: 36, energy: 7056.37, penergy: -405.422, kenergy: 7461.79
Tick: 37, energy: 7056.37, penergy: -405.845, kenergy: 7462.21
Tick: 38, energy: 7056.36, penergy: -406.281, kenergy: 7462.64
Tick: 39, energy: 7056.35, penergy: -406.728, kenergy: 7463.08
Tick: 40, energy: 7056.35, penergy: -407.187, kenergy: 7463.54
Tick: 41, energy: 7056.34, penergy: -407.658, kenergy: 7464
Tick: 42, energy: 7056.34, penergy: -408.141, kenergy: 7464.48
Tick: 43, energy: 7056.33, penergy: -408.636, kenergy: 7464.97
Tick: 44, energy: 7056.32, penergy: -409.143, kenergy: 7465.47
Tick: 45, energy: 7056.32, penergy: -409.662, kenergy: 7465.98
Tick: 46, energy: 7056.31, penergy: -410.193, kenergy: 7466.5
Tick: 47, energy: 7056.31, penergy: -410.736, kenergy: 7467.04
Tick: 48, energy: 7056.3, penergy: -411.292, kenergy: 7467.59
Tick: 49, energy: 7056.29, penergy: -411.86, kenergy: 7468.15
Tick: 50, energy: 7056.29, penergy: -412.44, kenergy: 7468.73
Tick: 51, energy: 7056.28, penergy: -413.033, kenergy: 7469.31
Tick: 52, energy: 7056.27, penergy: -413.638, kenergy: 7469.91
Tick: 53, energy: 7056.27, penergy: -414.256, kenergy: 7470.52
Tick: 54, energy: 7056.26, penergy: -414.886, kenergy: 7471.15
Tick: 55, energy: 7056.26, penergy: -415.529, kenergy: 7471.78
Tick: 56, energy: 7056.25, penergy: -416.185, kenergy: 7472.43
Tick: 57, energy: 7056.24, penergy: -416.853, kenergy: 7473.1
