Tick: 0, energy: 10036.2, penergy: -397.714, kenergy: 10434
Tick: 1, energy: 10038.3, penergy: -397.743, kenergy: 10436
Tick: 2, energy: 10038.3, penergy: -397.786, kenergy: 10436.1
Tick: 3, energy: 10038.3, penergy: -397.845, kenergy: 10436.1
Tick: 4, energy: 10038.3, penergy: -397.919, kenergy: 10436.2
Tick: 5, energy: 10038.2, penergy: -398.008, kenergy: 10436.3
Tick: 6, energy: 10038.2, penergy: -398.113, kenergy: 10436.4
Tick: 7, energy: 10038.2, penergy: -398.233, kenergy: 10436.5
Tick: 8, energy: 10038.2, penergy: -398.368, kenergy: 10436.6
Tick: 9, energy: 10038.2, penergy: -398.518, kenergy: 10436.7
Tick: 10, energy: 10038.2, penergy: -398.684, kenergy: 10436.9
Tick: 11, energy: 10038.2, penergy: -398.866, kenergy: 10437.1
Tick: 12, energy: 10038.2, penergy: -399.062, kenergy: 10437.3
Tick: 13, energy: 10038.2, penergy: -399.275, kenergy: 10437.5
Tick: 14, energy: 10038.2, penergy: -399.502, kenergy: 10437.7
Tick: 15, energy: 10038.2, penergy: -399.746, kenergy: 10437.9
Tick: 16, energy: 10038.2, penergy: -400.004, kenergy: 10438.2
Tick: 17, energy: 10038.2, penergy: -400.279, kenergy: 10438.4
Tick: 18, energy: 10038.1, penergy: -400.569, kenergy: 10438.7
Tick: 19, energy: 10038.1, penergy: -400.874, kenergy: 10439
Tick: 20, energy: 10038.1, penergy: -401.196, kenergy: 10439.3
Tick: 21, energy: 10038.1, penergy: -401.533, kenergy: 10439.7
Tick: 22, energy: 10038.1, penergy: -401.886, kenergy: 10440
Tick: 23, energy: 10038.1, penergy: -402.254, kenergy: 10440.4
Tick: 24, energy: 10038.1, penergy: -402.639, kenergy: 10440.7
Tick: 25, energy: 10038.1, penergy: -403.04, kenergy: 10441.1
Tick: 26, energy: 10038.1, penergy: -403.457, kenergy: 10441.5
Tick: 27, energy: 10038.1, penergy: -403.889, kenergy: 10442
Tick: 28, energy: 10038.1, penergy: -404.338, kenergy: 10442.4
Tick: 29, energy: 10038.1, penergy: -404.803, kenergy: 10442.9
Tick: 30, energy: 10038, penergy: -405.285, kenergy: 10443.3
Tick: 31, energy: 10038, penergy: -405.783, kenergy: 10443.8
Tick: 32, energy: 10038, penergy: -406.297, kenergy: 10444.3
Tick: 33, energy: 10038, penergy: -406.827, kenergy: 10444.9
Tick: 34, energy: 10038, penergy: -407.375, kenergy: 10445.4
Tick: 35, energy: 10038, penergy: -407.939, kenergy: 10445.9
Tick: 36, energy: 10038, penergy: -408.519, kenergy: 10446.5
Tick: 37, energy: 10038, penergy: -409.117, kenergy: 10447.1
Tick: 38, energy: 10038, penergy: -409.731, kenergy: 10447.7
Tick: 39, energy: 10038, penergy: -410.362, kenergy: 10448.3
Tick: 40, energy: 10038, penergy: -411.011, kenergy: 10449
Tick: 41, energy: 10038, penergy: -411.676, kenergy: 10449.6
Tick: 42, energy: 10037.9, penergy: -412.359, kenergy: 10450.3
Tick: 43, energy: 10037.9, penergy: -413.059, kenergy: 10451
Tick: 44, energy: 10037.9, penergy: -413.776, kenergy: 10451.7
Tick: 45, energy: 10037.9, penergy: -414.511, kenergy: 10452.4
Tick: 46, energy: 10037.9, penergy: -415.264, kenergy: 10453.2
Tick: 47, energy: 10037.9, penergy: -416.035, kenergy: 10453.9
Tick: 48, energy: 10037.9, penergy: -416.823, kenergy: 10454.7
Tick: 49, energy: 10037.9, penergy: -417.629, kenergy: 10455.5
Tick: 50, energy: 10037.9, penergy: -418.454, kenergy: 10456.3
Tick: 51, energy: 10037.9, penergy: -419.296, kenergy: 10457.2
Tick: 52, energy: 10037.9, penergy: -420.157, kenergy: 10458
Tick: 53, energy: 10037.8, penergy: -421.037, kenergy: 10458.9
Tick: 54, energy: 10037.8, penergy: -421.934, kenergy: 10459.8
Tick: 55, energy: 10037.8, penergy: -422.851, kenergy: 10460.7
Tick: 56, energy: 10037.8, penergy: -423.786, kenergy: 10461.6
Tick: 57, energy: 10037.8, penergy: -424.741, kenergy: 10462.6
Tick: 58, energy: 10037.8, penergy: -425.714, kenergy: 10463.5
Tick: 59, energy: 10037.8, penergy: -426.707, kenergy: 10464.5
Tick: 60, energy: 10037.8, penergy: -427.719, kenergy: 10465.5
Tick: 61, energy: 10037.8, penergy: -428.75, kenergy: 10466.5
Tick: 62, energy: 10037.8, penergy: -429.802, kenergy: 10467.6
Tick: 63, energy: 10037.8, penergy: -430.873, kenergy: 10468.6
Tick: 64, energy: 10037.7, penergy: -431.963, kenergy: 10469.7
Tick: 65, energy: 10037.7, penergy: -433.074, kenergy: 10470.8
Tick: 66, energy: 10037.7, penergy: -434.206, kenergy: 10471.9
Tick: 67, energy: 10037.7, penergy: -435.357, kenergy: 10473.1
Tick: 68, energy: 10037.7, penergy: -436.529, kenergy: 10474.2
Tick: 69, energy: 10037.7, penergy: -437.722, kenergy: 10475.4
Tick: 70, energy: 10037.7, penergy: -438.936, kenergy: 10476.6
Tick: 71, energy: 10037.7, penergy: -440.171, kenergy: 10477.8
Tick: 72, energy: 10037.7, penergy: -441.427, kenergy: 10479.1
Tick: 73, energy: 10037.6, penergy: -442.704, kenergy: 10480.4
Tick: 74, energy: 10037.6, penergy: -444.003, kenergy: 10481.6
Tick: 75, energy: 10037.6, penergy: -445.324, kenergy: 10483
Tick: 76, energy: 10037.6, penergy: -446.667, kenergy: 10484.3
Tick: 77, energy: 10037.6, penergy: -448.032, kenergy: 10485.6
Tick: 78, energy: 10037.6, penergy: -449.419, kenergy: 10487
Tick: 79, energy: 10037.6, penergy: -450.828, kenergy: 10488.4
Tick: 80, energy: 10037.6, penergy: -452.261, kenergy: 10489.8
Tick: 81, energy: 10037.6, penergy: -453.716, kenergy: 10491.3
Tick: 82, energy: 10037.5, penergy: -455.194, kenergy: 10492.7
Tick: 83, energy: 10037.5, penergy: -456.695, kenergy: 10494.2
Tick: 84, energy: 10037.5, penergy: -458.22, kenergy: 10495.7
Tick: 85, energy: 10037.5, penergy: -459.769, kenergy: 10497.3
Tick: 86, energy: 10037.5, penergy: -461.342, kenergy: 10498.8
Tick: 87, energy: 10037.5, penergy: -462.938, kenergy: 10500.4
Tick: 88, energy: 10037.5, penergy: -464.559, kenergy: 10502
Tick: 89, energy: 10037.5, penergy: -466.205, kenergy: 10503.7
Tick: 90, energy: 10037.5, penergy: -467.875, kenergy: 10505.3
Tick: 91, energy: 10037.4, penergy: -469.57, kenergy: 10507
Tick: 92, energy: 10037.4, penergy: -471.291, kenergy: 10508.7
Tick: 93, energy: 10037.4, penergy: -473.036, kenergy: 10510.5
Tick: 94, energy: 10037.4, penergy: -474.808, kenergy: 10512.2
Tick: 95, energy: 10037.4, penergy: -476.605, kenergy: 10514
Tick: 96, energy: 10037.4, penergy: -478.429, kenergy: 10515.8
Tick: 97, energy: 10037.4, penergy: -480.279, kenergy: 10517.6
Tick: 98, energy: 10037.3, penergy: -482.155, kenergy: 10519.5
Tick: 99, energy: 10037.3, penergy: -484.058, kenergy: 10521.4
Tick: 100, energy: 10037.3, penergy: -485.988, kenergy: 10523.3
Tick: 101, energy: 10037.3, penergy: -487.946, kenergy: 10525.3
Tick: 102, energy: 10037.3, penergy: -489.931, kenergy: 10527.2
Tick: 103, energy: 10037.3, penergy: -491.943, kenergy: 10529.2
