Tick: 0, energy: 11526.8, penergy: -397.716, kenergy: 11924.5
Tick: 1, energy: 11529.1, penergy: -397.748, kenergy: 11926.9
Tick: 2, energy: 11529.1, penergy: -397.797, kenergy: 11926.9
Tick: 3, energy: 11529.1, penergy: -397.864, kenergy: 11927
Tick: 4, energy: 11529.1, penergy: -397.948, kenergy: 11927.1
Tick: 5, energy: 11529.1, penergy: -398.05, kenergy: 11927.1
Tick: 6, energy: 11529.1, penergy: -398.169, kenergy: 11927.3
Tick: 7, energy: 11529.1, penergy: -398.305, kenergy: 11927.4
Tick: 8, energy: 11529.1, penergy: -398.46, kenergy: 11927.5
Tick: 9, energy: 11529.1, penergy: -398.631, kenergy: 11927.7
Tick: 10, energy: 11529.1, penergy: -398.821, kenergy: 11927.9
Tick: 11, energy: 11529, penergy: -399.027, kenergy: 11928.1
Tick: 12, energy: 11529, penergy: -399.252, kenergy: 11928.3
Tick: 13, energy: 11529, penergy: -399.494, kenergy: 11928.5
Tick: 14, energy: 11529, penergy: -399.754, kenergy: 11928.8
Tick: 15, energy: 11529, penergy: -400.032, kenergy: 11929
Tick: 16, energy: 11529, penergy: -400.328, kenergy: 11929.3
Tick: 17, energy: 11529, penergy: -400.641, kenergy: 11929.6
Tick: 18, energy: 11529, penergy: -400.972, kenergy: 11930
Tick: 19, energy: 11529, penergy: -401.322, kenergy: 11930.3
Tick: 20, energy: 11529, penergy: -401.689, kenergy: 11930.7
Tick: 21, energy: 11529, penergy: -402.075, kenergy: 11931
Tick: 22, energy: 11528.9, penergy: -402.478, kenergy: 11931.4
Tick: 23, energy: 11528.9, penergy: -402.9, kenergy: 11931.8
Tick: 24, energy: 11528.9, penergy: -403.34, kenergy: 11932.3
Tick: 25, energy: 11528.9, penergy: -403.799, kenergy: 11932.7
Tick: 26, energy: 11528.9, penergy: -404.275, kenergy: 11933.2
Tick: 27, energy: 11528.9, penergy: -404.771, kenergy: 11933.7
Tick: 28, energy: 11528.9, penergy: -405.285, kenergy: 11934.2
Tick: 29, energy: 11528.9, penergy: -405.817, kenergy: 11934.7
Tick: 30, energy: 11528.9, penergy: -406.369, kenergy: 11935.2
Tick: 31, energy: 11528.9, penergy: -406.939, kenergy: 11935.8
Tick: 32, energy: 11528.9, penergy: -407.528, kenergy: 11936.4
Tick: 33, energy: 11528.8, penergy: -408.137, kenergy: 11937
Tick: 34, energy: 11528.8, penergy: -408.764, kenergy: 11937.6
Tick: 35, energy: 11528.8, penergy: -409.411, kenergy: 11938.2
Tick: 36, energy: 11528.8, penergy: -410.077, kenergy: 11938.9
Tick: 37, energy: 11528.8, penergy: -410.762, kenergy: 11939.6
Tick: 38, energy: 11528.8, penergy: -411.467, kenergy: 11940.3
Tick: 39, energy: 11528.8, penergy: -412.191, kenergy: 11941
Tick: 40, energy: 11528.8, penergy: -412.936, kenergy: 11941.7
Tick: 41, energy: 11528.8, penergy: -413.7, kenergy: 11942.5
Tick: 42, energy: 11528.8, penergy: -414.484, kenergy: 11943.2
Tick: 43, energy: 11528.7, penergy: -415.289, kenergy: 11944
Tick: 44, energy: 11528.7, penergy: -416.114, kenergy: 11944.8
Tick: 45, energy: 11528.7, penergy: -416.959, kenergy: 11945.7
Tick: 46, energy: 11528.7, penergy: -417.824, kenergy: 11946.5
Tick: 47, energy: 11528.7, penergy: -418.711, kenergy: 11947.4
Tick: 48, energy: 11528.7, penergy: -419.618, kenergy: 11948.3
Tick: 49, energy: 11528.7, penergy: -420.546, kenergy: 11949.2
Tick: 50, energy: 11528.7, penergy: -421.495, kenergy: 11950.2
Tick: 51, energy: 11528.7, penergy: -422.466, kenergy: 11951.1
Tick: 52, energy: 11528.6, penergy: -423.458, kenergy: 11952.1
Tick: 53, energy: 11528.6, penergy: -424.471, kenergy: 11953.1
Tick: 54, energy: 11528.6, penergy: -425.507, kenergy: 11954.1
Tick: 55, energy: 11528.6, penergy: -426.564, kenergy: 11955.2
Tick: 56, energy: 11528.6, penergy: -427.643, kenergy: 11956.2
Tick: 57, energy: 11528.6, penergy: -428.744, kenergy: 11957.3
Tick: 58, energy: 11528.6, penergy: -429.868, kenergy: 11958.5
Tick: 59, energy: 11528.6, penergy: -431.015, kenergy: 11959.6
Tick: 60, energy: 11528.6, penergy: -432.184, kenergy: 11960.7
Tick: 61, energy: 11528.5, penergy: -433.376, kenergy: 11961.9
Tick: 62, energy: 11528.5, penergy: -434.591, kenergy: 11963.1
Tick: 63, energy: 11528.5, penergy: -435.83, kenergy: 11964.4
Tick: 64, energy: 11528.5, penergy: -437.092, kenergy: 11965.6
Tick: 65, energy: 11528.5, penergy: -438.378, kenergy: 11966.9
Tick: 66, energy: 11528.5, penergy: -439.688, kenergy: 11968.2
Tick: 67, energy: 11528.5, penergy: -441.021, kenergy: 11969.5
Tick: 68, energy: 11528.5, penergy: -442.38, kenergy: 11970.8
Tick: 69, energy: 11528.5, penergy: -443.762, kenergy: 11972.2
Tick: 70, energy: 11528.4, penergy: -445.17, kenergy: 11973.6
Tick: 71, energy: 11528.4, penergy: -446.603, kenergy: 11975
Tick: 72, energy: 11528.4, penergy: -448.06, kenergy: 11976.5
Tick: 73, energy: 11528.4, penergy: -449.543, kenergy: 11977.9
Tick: 74, energy: 11528.4, penergy: -451.052, kenergy: 11979.4
Tick: 75, energy: 11528.4, penergy: -452.587, kenergy: 11981
Tick: 76, energy: 11528.4, penergy: -454.148, kenergy: 11982.5
Tick: 77, energy: 11528.4, penergy: -455.735, kenergy: 11984.1
Tick: 78, energy: 11528.3, penergy: -457.348, kenergy: 11985.7
Tick: 79, energy: 11528.3, penergy: -458.989, kenergy: 11987.3
Tick: 80, energy: 11528.3, penergy: -460.657, kenergy: 11989
Tick: 81, energy: 11528.3, penergy: -462.352, kenergy: 11990.6
Tick: 82, energy: 11528.3, penergy: -464.074, kenergy: 11992.4
Tick: 83, energy: 11528.3, penergy: -465.825, kenergy: 11994.1
Tick: 84, energy: 11528.3, penergy: -467.603, kenergy: 11995.9
Tick: 85, energy: 11528.2, penergy: -469.41, kenergy: 11997.7
Tick: 86, energy: 11528.2, penergy: -471.246, kenergy: 11999.5
Tick: 87, energy: 11528.2, penergy: -473.111, kenergy: 12001.3
Tick: 88, energy: 11528.2, penergy: -475.004, kenergy: 12003.2
Tick: 89, energy: 11528.2, penergy: -476.928, kenergy: 12005.1
Tick: 90, energy: 11528.2, penergy: -478.881, kenergy: 12007
Tick: 91, energy: 11528.2, penergy: -480.863, kenergy: 12009
Tick: 92, energy: 11528.1, penergy: -482.877, kenergy: 12011
Tick: 93, energy: 11528.1, penergy: -484.921, kenergy: 12013
Tick: 94, energy: 11528.1, penergy: -486.995, kenergy: 12015.1
Tick: 95, energy: 11528.1, penergy: -489.101, kenergy: 12017.2
Tick: 96, energy: 11528.1, penergy: -491.239, kenergy: 12019.3
Tick: 97, energy: 11528.1, penergy: -493.408, kenergy: 12021.5
Tick: 98, energy: 11528, penergy: -495.609, kenergy: 12023.7
Tick: 99, energy: 11528, penergy: -497.842, kenergy: 12025.9
Tick: 100, energy: 11528, penergy: -500.108, kenergy: 12028.1
Tick: 101, energy: 11528, penergy: -502.407, kenergy: 12030.4
Tick: 102, energy: 11528, penergy: -504.739, kenergy: 12032.7
Tick: 103, energy: 11528, penergy: -507.105, kenergy: 12035.1
Tick: 104, energy: 11527.9, penergy: -509.504, kenergy: 12037.4
Tick: 105, energy: 11527.9, penergy: -511.938, kenergy: 12039.9
Tick: 106, energy: 11527.9, penergy: -514.405, kenergy: 12042.3
Tick: 107, energy: 11527.9, penergy: -516.908, kenergy: 12044.8
Tick: 108, energy: 11527.9, penergy: -519.445, kenergy: 12047.3
Tick: 109, energy: 11527.9, penergy: -522.017, kenergy: 12049.9
Tick: 110, energy: 11527.8, penergy: -524.625, kenergy: 12052.5
Tick: 111, energy: 11527.8, penergy: -527.269, kenergy: 12055.1
Tick: 112, energy: 11527.8, penergy: -529.948, kenergy: 12057.8
Tick: 113, energy: 11527.8, penergy: -532.663, kenergy: 12060.4
Tick: 114, energy: 11527.8, penergy: -535.415, kenergy: 12063.2
Tick: 115, energy: 11527.7, penergy: -538.204, kenergy: 12066
Tick: 116, energy: 11527.7, penergy: -541.029, kenergy: 12068.8
Tick: 117, energy: 11527.7, penergy: -543.892, kenergy: 12071.6
Tick: 118, energy: 11527.7, penergy: -546.791, kenergy: 12074.5
Tick: 119, energy: 11527.7, penergy: -549.728, kenergy: 12077.4
Tick: 120, energy: 11527.7, penergy: -552.703, kenergy: 12080.4
Tick: 121, energy: 11527.6, penergy: -555.715, kenergy: 12083.4
Tick: 122, energy: 11527.6, penergy: -558.764, kenergy: 12086.4
Tick: 123, energy: 11527.6, penergy: -561.852, kenergy: 12089.5
Tick: 124, energy: 11527.6, penergy: -564.978, kenergy: 12092.6
Tick: 125, energy: 11527.6, penergy: -568.141, kenergy: 12095.7
Tick: 126, energy: 11527.5, penergy: -571.342, kenergy: 12098.9
Tick: 127, energy: 11527.5, penergy: -574.581, kenergy: 12102.1
Tick: 128, energy: 11527.5, penergy: -577.858, kenergy: 12105.4
Tick: 129, energy: 11527.5, penergy: -581.172, kenergy: 12108.7
Tick: 130, energy: 11527.5, penergy: -584.524, kenergy: 12112
Tick: 131, energy: 11527.4, penergy: -587.913, kenergy: 12115.4
Tick: 132, energy: 11527.4, penergy: -591.339, kenergy: 12118.8
Tick: 133, energy: 11527.4, penergy: -594.801, kenergy: 12122.2
Tick: 134, energy: 11527.4, penergy: -598.3, kenergy: 12125.7
Tick: 135, energy: 11527.4, penergy: -601.834, kenergy: 12129.2
Tick: 136, energy: 11527.4, penergy: -605.403, kenergy: 12132.8
Tick: 137, energy: 11527.3, penergy: -609.007, kenergy: 12136.3
Tick: 138, energy: 11527.3, penergy: -612.644, kenergy: 12140
Tick: 139, energy: 11527.3, penergy: -616.314, kenergy: 12143.6
Tick: 140, energy: 11527.3, penergy: -620.016, kenergy: 12147.3
Tick: 141, energy: 11527.3, penergy: -623.748, kenergy: 12151
Tick: 142, energy: 11527.3, penergy: -627.51, kenergy: 12154.8
Tick: 143, energy: 11527.2, penergy: -631.3, kenergy: 12158.5
Tick: 144, energy: 11527.2, penergy: -635.117, kenergy: 12162.4
Tick: 145, energy: 11527.2, penergy: -638.959, kenergy: 12166.2
Tick: 146, energy: 11527.2, penergy: -642.823, kenergy: 12170
Tick: 147, energy: 11527.2, penergy: -646.709, kenergy: 12173.9
Tick: 148, energy: 11527.2, penergy: -650.614, kenergy: 12177.8
Tick: 149, energy: 11527.2, penergy: -654.534, kenergy: 12181.7
Tick: 150, energy: 11527.2, penergy: -658.469, kenergy: 12185.6
Tick: 151, energy: 11527.2, penergy: -662.413, kenergy: 12189.6
Tick: 152, energy: 11527.2, penergy: -666.365, kenergy: 12193.5
Tick: 153, energy: 11527.2, penergy: -670.321, kenergy: 12197.5
Tick: 154, energy: 11527.2, penergy: -674.276, kenergy: 12201.4
Tick: 155, energy: 11527.2, penergy: -678.227, kenergy: 12205.4
Tick: 156, energy: 11527.2, penergy: -682.168, kenergy: 12209.3
Tick: 157, energy: 11527.2, penergy: -686.095, kenergy: 12213.3
Tick: 158, energy: 11527.2, penergy: -690.003, kenergy: 12217.2
Tick: 159, energy: 11527.2, penergy: -693.884, kenergy: 12221.1
Tick: 160, energy: 11527.2, penergy: -697.734, kenergy: 12225
Tick: 161, energy: 11527.3, penergy: -701.545, kenergy: 12228.8
Tick: 162, energy: 11527.3, penergy: -705.31, kenergy: 12232.6
Tick: 163, energy: 11527.3, penergy: -709.021, kenergy: 12236.3
Tick: 164, energy: 11527.3, penergy: -712.668, kenergy: 12240
Tick: 165, energy: 11527.4, penergy: -716.245, kenergy: 12243.6
Tick: 166, energy: 11527.4, penergy: -719.739, kenergy: 12247.2
Tick: 167, energy: 11527.5, penergy: -723.142, kenergy: 12250.6
Tick: 168, energy: 11527.5, penergy: -726.443, kenergy: 12254
Tick: 169, energy: 11527.6, penergy: -729.63, kenergy: 12257.2
Tick: 170, energy: 11527.6, penergy: -732.691, kenergy: 12260.3
Tick: 171, energy: 11527.7, penergy: -735.614, kenergy: 12263.3
Tick: 172, energy: 11527.8, penergy: -738.385, kenergy: 12266.2
Tick: 173, energy: 11527.9, penergy: -740.991, kenergy: 12268.9
Tick: 174, energy: 11528, penergy: -743.419, kenergy: 12271.4
Tick: 175, energy: 11528.1, penergy: -745.654, kenergy: 12273.7
Tick: 176, energy: 11528.2, penergy: -747.683, kenergy: 12275.9
Tick: 177, energy: 11528.3, penergy: -749.491, kenergy: 12277.8
Tick: 178, energy: 11528.4, penergy: -751.063, kenergy: 12279.5
Tick: 179, energy: 11528.5, penergy: -752.386, kenergy: 12280.9
Tick: 180, energy: 11528.7, penergy: -753.447, kenergy: 12282.1
Tick: 181, energy: 11528.8, penergy: -754.233, kenergy: 12283
Tick: 182, energy: 11529, penergy: -754.732, kenergy: 12283.7
Tick: 183, energy: 11529.1, penergy: -754.933, kenergy: 12284
Tick: 184, energy: 11529.3, penergy: -754.826, kenergy: 12284.1
Tick: 185, energy: 11529.4, penergy: -754.402, kenergy: 12283.8
Tick: 186, energy: 11529.6, penergy: -753.656, kenergy: 12283.2
Tick: 187, energy: 11529.8, penergy: -752.58, kenergy: 12282.3
Tick: 188, energy: 11529.9, penergy: -751.173, kenergy: 12281.1
Tick: 189, energy: 11530.1, penergy: -749.43, kenergy: 12279.5
Tick: 190, energy: 11530.3, penergy: -747.353, kenergy: 12277.6
Tick: 191, energy: 11530.4, penergy: -744.943, kenergy: 12275.4
Tick: 192, energy: 11530.6, penergy: -742.204, kenergy: 12272.8
Tick: 193, energy: 11530.8, penergy: -739.141, kenergy: 12269.9
Tick: 194, energy: 11530.9, penergy: -735.762, kenergy: 12266.7
Tick: 195, energy: 11531.1, penergy: -732.077, kenergy: 12263.1
Tick: 196, energy: 11531.2, penergy: -728.098, kenergy: 12259.3
Tick: 197, energy: 11531.4, penergy: -723.838, kenergy: 12255.2
Tick: 198, energy: 11531.5, penergy: -719.314, kenergy: 12250.8
Tick: 199, energy: 11531.6, penergy: -714.545, kenergy: 12246.1
Tick: 200, energy: 11531.7, penergy: -709.551, kenergy: 12241.3
Tick: 201, energy: 11531.8, penergy: -704.357, kenergy: 12236.2
Tick: 202, energy: 11531.9, penergy: -698.988, kenergy: 12230.9
Tick: 203, energy: 11532, penergy: -693.471, kenergy: 12225.4
Tick: 204, energy: 11532, penergy: -687.836, kenergy: 12219.9
Tick: 205, energy: 11532.1, penergy: -682.114, kenergy: 12214.2
Tick: 206, energy: 11532.1, penergy: -676.339, kenergy: 12208.4
Tick: 207, energy: 11532.1, penergy: -670.544, kenergy: 12202.6
Tick: 208, energy: 11532.1, penergy: -664.765, kenergy: 12196.9
Tick: 209, energy: 11532.1, penergy: -659.038, kenergy: 12191.1
Tick: 210, energy: 11532, penergy: -653.398, kenergy: 12185.4
Tick: 211, energy: 11531.9, penergy: -647.884, kenergy: 12179.8
Tick: 212, energy: 11531.9, penergy: -642.53, kenergy: 12174.4
